Common gene name,No_drug,CHL_1ug/mL,CPR_4ng/mL,MEC_38ng/mL,NIT_2ug/mL,TET_150ng/mL,TMP_80ng/mL,FOX_1.90ug/mL,AMP_3.14ug/mL,PrtoSTOP
yfjV,0.86,0.64,0.63,0.82,0.7,0.66,0.66,0.69,0.77,1.87
yfjW,0.87,0.62,0.69,0.79,0.73,0.67,0.59,0.32,0.58,26.18
yfjX,0.83,0.56,0.57,0.61,0.59,0.66,0.62,0.3,0.32,7.47
yfjY,0.86,0.58,0.74,0.87,0.66,0.68,0.65,0.5,0.73,6.97
yfjZ,0.92,0.62,0.73,0.83,0.72,0.69,0.66,0.78,0.85,5.23
ygaC,0.86,0.58,0.63,0.77,0.67,0.64,0.64,0.39,0.46,5.99
ygaD,0.88,0.57,0.63,0.71,0.69,0.61,0.64,0.37,0.61,0
ygaF,0.88,0.54,0.51,0.73,0.61,0.63,0.61,0.32,0.33,0
ygaH,0.86,0.6,0.65,0.66,0.57,0.66,0.61,0.52,0.45,4.54
ygaM,0.87,0.49,0.63,0.63,0.66,0.59,0.6,0.39,0.46,4.24
ygaP,0.9,0.66,0.74,0.9,0.66,0.7,0.69,0.77,0.84,6.77
ygaQ,0.9,0.41,0.54,0.41,0.61,0.56,0.65,0,0.19,36.72
ygaR,0.91,0.54,0.56,0.68,0.69,0.59,0.59,0.44,0.52,0
ygaT,0.99,0.56,0.67,0.64,0.72,0.63,0.64,0.42,0.51,0
ygaU,0.86,0.62,0.67,0.86,0.7,0.66,0.61,0.47,0.55,0
ygaV,0.89,0.66,0.8,0.92,0.72,0.71,0.66,0.92,0.99,4.5
ygaW,0.87,0.55,0.6,0.59,0.69,0.58,0.66,0.35,0.52,0
ygaX,0.9,0.62,0.72,0.83,0.71,0.63,0.66,0.81,0.85,0
ygaY,0.98,0.55,0.72,0.77,0.74,0.65,0.6,0.41,0.39,15.68
ygaZ,0.88,0.46,0.62,0.81,0.63,0.61,0.63,0.26,0.53,10.08
ygbA,0.88,0.64,0.64,0.76,0.69,0.68,0.63,0.42,0.51,6.88
ygbE,0.9,0.58,0.77,0.98,0.66,0.6,0.64,0.54,0.73,4.22
ygbF,0.98,0.68,0.73,0.91,0.73,0.74,0.65,0.99,0.95,3.85
ygbI,0.89,0.64,0.65,0.69,0.69,0.67,0.62,0.55,0.59,10.54
ygbJ,0.87,0.64,0.66,0.89,0.75,0.71,0.65,0.54,0.66,0
ygbK,0.9,0.52,0.63,0.58,0.66,0.6,0.6,0.21,0.29,0
ygbL,0.95,0.7,0.75,0.95,0.7,0.73,0.66,0.81,0.81,0
ygbM,0.91,0.62,0.59,0.78,0.68,0.64,0.63,0.39,0.52,0
ygbN,0.93,0.53,0.12,0.51,0.7,0.61,0.68,0.36,0.49,15.8
