Common gene name,No_drug,CHL_1ug/mL,CPR_4ng/mL,MEC_38ng/mL,NIT_2ug/mL,TET_150ng/mL,TMP_80ng/mL,FOX_1.90ug/mL,AMP_3.14ug/mL,PrtoSTOP
creC,0.9,0.61,0.36,0.39,0.48,0.61,0.68,0.41,0.27,20.27
creD,0.93,0.6,0.56,0.68,0.56,0.67,0.58,0.58,0.52,20.34
crl,0.97,0.61,0.76,0.84,0.64,0.65,0.63,0.57,0.42,7.17
crp,0.82,0.54,0.67,0.61,0.62,0.59,0.41,0.28,0.38,10.72
crr,0.88,0.42,0.67,0.83,0.55,0.63,0.62,0.58,0.76,6.43
csdA,0.84,0.59,0.68,0.87,0.73,0.64,0.62,0.41,0.55,16.65
csgA,0.97,0.61,0.63,0.59,0.71,0.61,0.59,0.24,0.35,5.73
csgB,1.01,0.71,0.63,0.76,0.73,0.7,0.67,0.61,0.49,6.69
csgC,0.95,0.66,0.76,0.85,0.64,0.74,0.61,0.36,0.42,5.73
csgD,0.87,0.56,0.62,0.54,0.67,0.58,0.69,0.43,0.42,10.83
csgE,0.84,0.58,0.61,0.77,0.64,0.66,0.61,0.33,0.42,5.82
csgF,0.9,0.48,0.7,0.73,0.67,0.71,0.63,0.45,0.43,5.52
csgG,0.89,0.6,0.69,0.81,0.56,0.65,0.6,0.27,0.22,12.44
csiE,0.98,0.52,0.51,0.62,0.66,0.62,0.64,0.36,0.44,20.46
csiR,0.93,0.51,0.6,0.58,0.7,0.61,0.67,0.28,0.44,10.17
cspA,1.02,0.61,0.6,0.53,0.73,0.71,0.57,0.63,0.66,2.73
cspB,0.97,0.65,0.68,0.88,0.69,0.74,0.67,0.61,0.67,2.51
cspC,0.93,0.54,0.56,0.52,0.66,0.63,0.59,0.36,0.48,2.67
cspD,0.94,0.57,0.69,0.61,0.71,0.6,0.66,0.17,0.6,3.07
cspE,0.99,0.6,0.56,0.62,0.7,0.66,0.52,0.55,0.36,2.67
cspF,0.93,0.59,0.47,0.56,0.57,0.64,0.55,0.4,0.61,2.77
cspG,0.93,0.59,0.58,0.79,0.65,0.67,0.56,0.41,0.49,2.63
cspH,0.99,0.6,0.7,0.51,0.7,0.68,0.57,0.6,0.53,2.59
cspI,0.97,0.7,0.77,0.83,0.69,0.74,0.64,0.76,0.79,2.63
cstA,1,0.63,0.71,0.82,0.74,0.74,0.66,0.48,0.7,27.52
cueO,0.93,0.55,0.69,0.77,0.67,0.67,0.64,0.76,0.83,19.99
cueR,0.96,0.49,0.67,0.72,0.71,0.61,0.65,0.41,0.65,6.33
cusA,0.85,0.5,0.48,0.53,0.65,0.55,0.65,0.31,0.26,44.99
cusB,0.96,0.62,0.56,0.65,0.71,0.63,0.64,0.45,0.52,17.45
cusC,0.9,0.54,0.64,0.97,0.66,0.64,0.62,0.46,0.55,22.43
cusF,0.9,0.46,0.67,0.82,0.67,0.64,0.54,0.4,0.48,4.43
cusR,0.91,0.62,0.79,0.89,0.62,0.69,0.67,0.75,0.63,9.39
cusS,0.97,0.55,0.6,0.5,0.67,0.64,0.56,0.14,0.36,18.51
cutA,0.9,0.62,0.78,0.64,0.69,0.65,0.62,0.66,0.77,6.47
cutC,0.88,0.51,0.61,0.59,0.67,0.62,0.6,0.51,0.71,9.67
cvpA,0.84,0.54,0.54,0.53,0.63,0.6,0.62,0.37,0.25,6.9
cvrA,0.91,0.58,0.66,0.68,0.71,0.68,0.61,0.25,0.5,22.15
cyaA,0.57,0.29,0.5,0.49,0.42,0.47,0.55,0.28,0.37,44
cyaY,0.76,0.47,0.39,0.36,0.64,0.59,0.53,0.15,0.17,5.53
cybB,0.94,0.58,0.72,0.63,0.68,0.71,0.6,0.55,0.72,7.4
cybC,0.86,0.49,0.54,0.51,0.64,0.55,0.61,0.26,0.33,5.46
cycA,0.93,0.62,0.72,0.82,0.7,0.71,0.67,0.73,0.77,19.06
cydB,0.59,0.24,0.54,0.62,0.36,0.36,0.46,0.57,0.49,16.23
cydD,0.69,0.37,0.54,0.63,0.47,0.5,0.4,0.2,0.62,25.55
cynR,0.9,0.66,0.67,0.57,0.66,0.68,0.69,0.6,0.5,12.96
cynS,0.94,0.63,0.68,0.52,0.7,0.74,0.71,0.73,0.52,6.28
cynT,0.95,0.59,0.65,0.44,0.64,0.68,0.58,0.22,0.46,8.41
cynX,0.86,0.52,0.44,0.69,0.68,0.6,0.62,0.31,0.26,17.21
cyoA,0.9,0.56,0.61,0.57,0.72,0.6,0.68,0.53,0.63,13.83
cyoB,0.98,0.59,0.51,0.65,0.67,0.61,0.68,0.3,0.24,26.61
cyoC,0.88,0.53,0.51,0.63,0.69,0.57,0.68,0.36,0.31,8.1
cyoD,0.89,0.51,0.51,0.26,0.64,0.57,0.7,0.19,0.15,3.76
cyoE,0.94,0.55,0.68,0.45,0.68,0.63,0.65,0,0.35,12.77
cysA,0.95,0.59,0.63,0.69,0.7,0.65,0.62,0.65,0.67,15.74
cysB,0.94,0.55,0.63,0.68,0.68,0.67,0.72,0.27,0.43,13.57
cysC,0.89,0.45,0.74,0.81,0.62,0.6,0.65,0.6,0.59,8.38
cysD,0.91,0.47,0.54,0.49,0.66,0.6,0.67,0.24,0.43,14.77
cysE,0.9,0.59,0.58,0.8,0.67,0.64,0.68,0.25,0.52,10.63
cysG,0.94,0.63,0.68,0.8,0.69,0.63,0.64,0.62,0.65,18.94
cysH,0.93,0.5,0.65,0.61,0.69,0.65,0.64,0.4,0.56,13.31
cysI,0.91,0.54,0.57,0.36,0.59,0.65,0.61,0.27,0.31,25.44
cysJ,0.98,0.71,0.7,0.75,0.65,0.78,0.6,0.37,0.26,27.58
cysK,0.93,0.59,0.73,0.73,0.69,0.66,0.65,0.39,0.56,14.11
cysM,0.88,0.43,0.31,0.3,0.64,0.52,0.64,0.03,0.04,12.79
cysN,0.88,0.56,0.7,0.74,0.68,0.65,0.66,0.71,0.73,20.51
cysP,0.94,0.55,0.62,0.55,0.71,0.61,0.65,0.47,0.48,16.26
cysQ,0.92,0.57,0.64,0.62,0.66,0.63,0.68,0.7,0.74,10.96
cysU,0.9,0.62,0.41,0.33,0.51,0.62,0.66,0.54,0.46,11.96
cysW,0.94,0.55,0.77,0.72,0.7,0.64,0.65,0.35,0.55,12.59
cysZ,0.93,0.49,0.54,0.64,0.69,0.62,0.69,0.42,0.51,12.3
cytR,0.9,0.65,0.68,0.77,0.64,0.68,0.64,0.62,0.77,14.37
dacA,0.88,0.51,0.74,0.18,0.68,0.56,0.62,0.22,0.01,17
dacB,0.87,0.56,0.67,0.63,0.69,0.62,0.67,0.48,0.59,19.66
dacC,0.88,0.61,0.7,0.83,0.69,0.67,0.65,0.71,0.7,17.68
dacD,0.94,0.56,0.65,0.67,0.69,0.63,0.68,0.46,0.4,17.42
dadA,0.91,0.49,0.59,0.32,0.64,0.58,0.65,0.43,0.37,20.53
dadX,0.83,0.52,0.71,0.13,0.69,0.61,0.68,0.19,0.32,15.57
dam,0.88,0.49,0.57,0.54,0.39,0.71,0.27,0.65,0.53,14.44
damX,1,0.73,0.81,0.43,0.76,0.72,0.71,0.32,0.23,20.18
dapF,0.56,0.2,0.14,0.4,0.54,0.46,0.44,0,0,10.07
dbpA,0.92,0.53,0.78,1,0.78,0.67,0.6,0.67,0.81,18.3
dcd,0.76,0.59,0.6,0.17,0.64,0.79,0.44,0.11,0.39,7.6
dcm,0.84,0.59,0.63,0.72,0.69,0.63,0.62,0.4,0.47,20.5
dcp,0.98,0.54,0.77,0.83,0.69,0.65,0.65,0.41,0.38,31.59
dcrB,0.74,0.36,0.41,0.61,0,0.4,0.54,0,0.16,7.73
dctA,0.8,0.6,0.51,0.37,0.65,0.67,0.66,0.17,0.38,15.36
dcuA,0.98,0.64,0.77,0.81,0.71,0.74,0.65,0.94,0.92,15.58
dcuB,0.97,0.67,0.71,0.71,0.69,0.75,0.67,0.5,0.53,16.91
dcuC,0.965,0.505,0.565,0.73,0.635,0.59,0.575,0.515,0.615,15.99
dcuD,0.96,0.55,0.74,0.54,0.73,0.63,0.65,0.4,0.32,15.28
dcuR,0.87,0.62,0.71,0.79,0.68,0.6,0.63,0.65,0.77,12.6
dcuS,0.85,0.53,0.51,0.56,0.62,0.6,0.63,0.48,0.33,24.24
ddg,0.97,0.55,0.68,0.62,0.7,0.67,0.63,0.37,0.56,0
ddlA,0.91,0.66,0.31,0.22,0.46,0.61,0.65,0.3,0.16,14.32
ddlB,0.94,0.61,0.5,0.32,0.42,0.73,0.65,0.66,0,14.58
ddpA,0.95,0.44,0.45,0.32,0.67,0.55,0.59,0.24,0.18,24.11
ddpB,0.92,0.5,0.55,0.53,0.65,0.59,0.66,0.23,0.23,14.15
ddpC,0.9,0.54,0.46,0.63,0.64,0.63,0.58,0.17,0.38,11.35
ddpD,0.88,0.5,0.56,0.77,0.68,0.63,0.61,0.36,0.35,13.38
ddpF,0.97,0.64,0.76,0.66,0.67,0.77,0.64,0.4,0.54,14.22
ddpX,0.8,0.59,0.68,0.85,0.6,0.62,0.67,0.52,0.67,8.57
deaD,0.76,0.63,0.73,0.61,0.39,0.61,0.62,0.5,0.45,26.1
dedA,0.86,0.52,0.58,0.65,0.58,0.58,0.66,0.33,0.5,8.16
dedD,0.81,0.36,0.19,0.1,0.34,0.54,0.64,0.57,0.27,8.58
degP,0.95,0.62,0.58,0.54,0.71,0.68,0.66,0.39,0.59,18.05
degQ,0.89,0.57,0.59,0.61,0.66,0.65,0.61,0.18,0.41,17.18
deoA,0.95,0.6,0.71,0.65,0.7,0.67,0.64,0.64,0.55,16.38
deoB,0.87,0.59,0.51,0.77,0.69,0.63,0.65,0.71,0.64,17.24
deoC,0.96,0.63,0.7,0.64,0.71,0.71,0.62,0.49,0.55,10.46
deoD,0.86,0.55,0.65,0.77,0.68,0.67,0.63,0.74,0.7,8.51
deoR,0.9,0.51,0.52,0.46,0.64,0.57,0.63,0.31,0.23,11.7
dgkA,0.77,0.62,0.77,0.89,0.65,0.71,0.66,0.82,0.77,4.84
dgoA,0.95,0.55,0.74,0.96,0.8,0.73,0.66,0.71,0.79,8.39
dgoD,0.98,0.68,0.73,0.76,0.74,0.75,0.62,0.77,0.52,17.12
dgoK,0.89,0.54,0.59,0.64,0.69,0.58,0.64,0.3,0.33,12.32
dgoR,1,0.64,0.63,0.65,0.71,0.72,0.58,0.64,0.43,10.19
dgoT,1.08,0.65,0.73,0.8,0.74,0.75,0.63,0.34,0.5,18.69
dgsA,0.95,0.57,0.77,0.81,0.65,0.69,0.63,0.55,0.71,0
dgt,0.96,0.67,0.73,0.82,0.69,0.75,0.6,0.55,0.63,26.91
dhaH,0.9,0.49,0.53,0.7,0.64,0.59,0.59,0.06,0.68,0
dhaK,0.96,0.59,0.7,0.68,0.69,0.7,0.62,0.49,0.58,15.66
dhaL,0.97,0.55,0.78,0.9,0.67,0.67,0.64,0.42,0.54,9.01
dhaR,0.95,0.49,0.63,0.64,0.64,0.58,0.6,0.03,0.37,28.45
dicB,0.88,0.63,0.78,0.98,0.65,0.65,0.59,0.6,0.84,2.74
dicC,0.95,0.56,0.63,0.63,0.68,0.58,0.6,0.26,0.51,4.5
dinB,0.91,0.56,0.68,0.68,0.66,0.67,0.64,0.63,0.52,15.15
dinD,0.97,0.6,0.64,0.61,0.69,0.71,0.62,0.57,0.58,13.68
dinF,0.92,0.67,0.74,0.79,0.71,0.72,0.64,0.64,0.5,18.39
dinG,0.88,0.6,0.51,0.67,0.45,0.68,0.69,0.55,0.63,34.05
dinI,0.93,0.56,0.52,0.65,0.65,0.59,0.67,0.35,0.48,3.7
dinJ,0.77,0.54,0.76,0.86,0.56,0.57,0.64,0.55,0.75,2.88
dipZ,1.01,0.66,0.74,0.11,0.68,0.76,0.59,0.55,0.54,0
djlA,0.86,0.6,0.69,0.79,0.7,0.64,0.67,0.77,0.74,12.5
djlB,0.84,0.52,0.58,0.63,0.58,0.62,0.48,0.33,0.41,25.7
djlC,0.94,0.55,0.7,0.72,0.7,0.64,0.58,0.14,0.46,27.27
dkgA,0.9,0.45,0.55,0.34,0.62,0.57,0.6,0.07,0.45,13.39
dkgB,0.93,0.52,0.64,0.69,0.67,0.65,0.63,0.52,0.42,12.81
dksA,0.7,0.27,0.02,0.15,0.02,0.38,0.5,0.04,0.22,7.91
dld,0.89,0.63,0.72,0.81,0.69,0.64,0.67,0.84,0.81,26.38
dmsA,0.96,0.54,0.71,0.69,0.62,0.63,0.6,0.43,0.51,38.85
dmsB,0.95,0.5,0.69,0.53,0.7,0.6,0.6,0.22,0.25,10.35
dmsC,0.95,0.55,0.67,0.54,0.71,0.62,0.71,0.47,0.55,11.79
dmsD,0.96,0.53,0.71,0.5,0.69,0.61,0.68,0.03,0.38,10.9
dnaG,0.92,0.67,0.75,0.91,0.6,0.7,0.57,0.78,0.75,26.49
dnaJ,0.94,0.54,0.21,0.42,0.47,0.63,0.58,0.4,0.75,17.95
dnaK,0.8,0.53,0.35,0.29,0.01,0.6,0.64,0.78,0,26.37
dnaQ,0.74,0.49,0.39,0.56,0.42,0.63,0.57,0.36,0.15,10.19
dnaT,0.57,0.05,0,0.49,0,0.3,0.34,0.09,0.3,7.31
dos,0.93,0.56,0.67,0.59,0.67,0.66,0.64,0.41,0.49,0
dppA,0.98,0.63,0.74,0.69,0.7,0.75,0.59,0.59,0.78,27.12
dppB,0.92,0.53,0.63,0.55,0.66,0.66,0.61,0,0.5,12.34
dppC,0.85,0.65,0.64,0.55,0.69,0.71,0.57,0.43,0.47,10.76
dppD,0.92,0.64,0.64,0.74,0.69,0.72,0.63,0.47,0.62,13.51
dppF,0.79,0.58,0.51,0.39,0.64,0.66,0.63,0.23,0.32,15.78
dps,0.88,0.56,0.59,0.48,0.67,0.63,0.64,0.43,0.43,6.89
dsbA,0.96,0.67,0.82,0.76,0.63,0.71,0.69,0.92,0.92,10.23
dsbB,0.94,0.63,0.74,0.64,0.68,0.72,0.62,0.71,0.74,8.83
dsbC,0.94,0.49,0.61,0.13,0.66,0.58,0.59,0.51,0.05,10.41
dsbG,0.9,0.49,0.53,0.53,0.65,0.63,0.63,0.06,0.58,13.04
dsdA,0.94,0.58,0.65,0.77,0.69,0.68,0.62,0.09,0.39,20.59
dsdC,0.87,0.58,0.53,0.61,0.62,0.62,0.67,0.32,0.5,15.13
dsdX,0.95,0.58,0.64,0.71,0.67,0.67,0.64,0.62,0.48,15.93
dsrB,0.86,0.59,0.71,0.82,0.7,0.63,0.67,0.73,0.77,3.71
dtd,0.95,0.61,0.61,0.57,0.69,0.7,0.63,0.35,0.54,6.42
dusB,0.89,0.71,0.1,0.21,0.44,0.63,0.67,0.56,0.54,14.02
dusC,0.79,0.64,0.75,0.89,0.68,0.69,0.64,0.62,0.72,15.24
eaeH,0.95,0.53,0.52,0.59,0.68,0.63,0.67,0.54,0.42,14.26
eamA,0.98,0.63,0.69,0.57,0.7,0.68,0.7,0.6,0.44,10.61
ebgA,0.91,0.57,0.7,0.52,0.69,0.65,0.62,0.53,0.5,49.4
ebgC,0.95,0.58,0.71,0.53,0.71,0.64,0.62,0.37,0.41,8.48
ebgR,0.9,0.59,0.67,0.73,0.69,0.65,0.66,0.51,0.6,14.53
ecnA,1.05,0.69,0.75,0.8,0.72,0.74,0.58,0.54,0.47,1.46
ecnB,0.79,0.59,0.3,0.27,0.46,0.68,0.62,0.45,0.41,1.74
eco,0.89,0.54,0.6,0.45,0.62,0.67,0.6,0.28,0.4,8.72
ecpD,0.98,0.59,0.72,0.9,0.71,0.67,0.61,0.39,0.48,25.66
eda,0.77,0.44,0.73,0.59,0.54,0.62,0.63,0.35,0.52,8.91
edd,0.91,0.53,0.76,0.73,0.68,0.6,0.66,0.51,0.53,22.93
efp,0.65,0.43,0.29,0.6,0.01,0.47,0.44,0.15,0.07,8.63
ego,0.95,0.57,0.72,0.72,0.69,0.67,0.63,0.71,0.84,0
elaA,0.92,0.52,0.57,0.76,0.67,0.63,0.63,0.39,0.4,7.61
elaB,0.85,0.63,0.61,0.71,0.7,0.66,0.63,0.38,0.35,5.37
elaC,0.89,0.41,0.39,0.4,0.63,0.53,0.55,0.02,0.21,0
elaD,0.81,0.29,0.62,0.55,0.59,0.63,0.55,0.66,0.57,21.08
elbA,0.96,0.58,0.81,0.88,0.71,0.68,0.69,0.44,0.73,0
elbB,0.97,0.57,0.68,0.49,0.69,0.64,0.64,0.14,0.57,7.83
emrA,0.93,0.5,0.62,0.6,0.65,0.62,0.65,0.46,0.57,16.83
emrB,0.91,0.62,0.71,0.88,0.66,0.69,0.63,0.76,0.77,21.76
emrD,1.02,0.73,0.8,0.89,0.73,0.77,0.65,0.85,0.87,15.57
emrE,0.95,0.55,0.65,0.61,0.7,0.68,0.61,0,0.57,5.14
emrK,0.91,0.56,0.67,0.66,0.64,0.68,0.6,0.48,0.6,17.45
emrY,0.9,0.59,0.67,0.73,0.66,0.71,0.64,0.68,0.76,21.57
emtA,0.94,0.5,0.65,0.55,0.67,0.68,0.66,0.2,0.42,9.11
endA,0.96,0.59,0.35,0.51,0.56,0.68,0.61,0.38,0.59,12.87
entA,0.92,0.47,0.59,0.47,0.66,0.63,0.58,0.27,0.33,9.99
entB,0.99,0.68,0.79,0.89,0.68,0.72,0.67,0.67,0.77,12.57
entC,0.91,0.59,0.67,0.73,0.67,0.64,0.64,0.42,0.61,16.4
entE,0.88,0.61,0.33,0.45,0.43,0.61,0.66,0.36,0.17,25.06
entF,0.94,0.62,0.55,0.72,0.68,0.66,0.67,0.33,0.3,57.32
envC,0.93,0.59,0.52,0.58,0.56,0.67,0.64,0.27,0.34,23.28
envR,0.88,0.55,0.63,0.53,0.69,0.58,0.67,0.46,0.52,10.49
envY,0.92,0.69,0.69,0.75,0.7,0.78,0.65,0.57,0.59,12.81
envZ,0.86,0.7,0.44,0.7,0.59,0.72,0.69,0.57,0.45,20.18
epd,1.03,0.67,0.71,0.99,0.75,0.76,0.63,0.51,0.61,12.57
eptA,0.94,0.6,0.67,0.79,0.66,0.65,0.63,0.76,0.83,26.91
eptB,1.02,0.7,0.73,0.81,0.71,0.75,0.61,0.64,0.79,26.75
erfK,0.88,0.54,0.67,0.94,0.75,0.63,0.64,0.54,0.65,13.36
essD,0.86,0.58,0.73,0.85,0.67,0.63,0.64,0.73,0.78,3.76
essQ,0.93,0.55,0.75,0.7,0.61,0.69,0.57,0.57,0.75,3.76
etp,1.01,0.56,0.73,0.51,0.7,0.65,0.67,0,0.38,6.68
eutA,0.9,0.56,0.66,0.7,0.73,0.6,0.65,0.43,0.49,18.05
eutB,0.91,0.54,0.65,0.7,0.73,0.63,0.62,0.47,0.62,18.85
eutC,0.91,0.53,0.69,0.5,0.69,0.59,0.66,0.37,0.58,13.15
eutE,0.92,0.57,0.68,0.66,0.69,0.65,0.68,0.64,0.62,15.93
eutG,0.92,0.55,0.7,0.59,0.69,0.61,0.62,0.18,0.49,14.47
eutH,0.95,0.54,0.73,0.51,0.69,0.64,0.63,0.37,0.45,12.79
eutI,0.96,0.57,0.66,0.65,0.65,0.63,0.64,0.45,0.45,0
eutJ,0.9,0.62,0.74,0.88,0.71,0.67,0.67,0.57,0.62,11.59
eutL,0.86,0.61,0.73,0.82,0.67,0.62,0.65,0.82,0.83,8
eutP,0.7,0.52,0.54,0.48,0.62,0.56,0.63,0.31,0.28,7.19
eutQ,0.96,0.61,0.65,0.77,0.71,0.63,0.61,0.55,0.71,10.32
eutT,0.92,0.62,0.74,0.88,0.7,0.6,0.65,0.51,0.52,12.2
evgA,0.87,0.59,0.68,0.76,0.65,0.57,0.61,0.7,0.76,8.71
evgS,0.85,0.64,0.6,0.92,0.7,0.69,0.65,0.76,0.81,56.43
exbB,0.87,0.63,0.65,0.69,0.69,0.69,0.59,0.59,0.37,9.48
exbD,0.82,0.6,0.6,0.63,0.66,0.67,0.55,0.58,0.21,5.04
exo,0.91,0.46,0.53,0.29,0.61,0.61,0.6,0.19,0.43,0
exoX,0.88,0.52,0.69,0.84,0.73,0.69,0.56,0.4,0.64,10.24
exuR,0.97,0.59,0.66,0.75,0.68,0.7,0.66,0.38,0.62,12.16
exuT,0.95,0.6,0.69,0.75,0.67,0.68,0.64,0.71,0.73,18.25
fabF,0.81,0.52,0.52,0.63,0.45,0.58,0.62,0.72,0.17,15.75
fabH,0.5,0.34,0.31,0,0.17,0.5,0.43,0.31,0.04,12.01
fabR,0.9,0.55,0.51,0.62,0.65,0.65,0.63,0.48,0.32,9.72
fadA,0.91,0.59,0.54,0.53,0.63,0.65,0.66,0.55,0.59,13.37
fadB,0.96,0.65,0.49,0.57,0.59,0.67,0.48,0.56,0.81,31.1
fadD,0.98,0.77,0.96,0.97,0.68,0.85,0.71,0.84,0.9,25.01
fadE,0.93,0.62,0.74,0.87,0.71,0.73,0.63,0.78,0.62,35.44
fadH,0.93,0.55,0.56,0.59,0.7,0.62,0.6,0.44,0.32,26.99
fadL,0.87,0.65,0.72,0.79,0.67,0.68,0.63,0.51,0.5,21.02
fadR,0.88,0.6,0.58,0.59,0.65,0.65,0.67,0.39,0.37,10.87
fbaB,0.94,0.57,0.73,0.57,0.7,0.66,0.65,0.49,0.49,15.39
fbp,0.96,0.66,0.71,0.98,0.7,0.7,0.66,0.64,0.75,15.42
fcl,0.95,0.54,0.7,0.52,0.7,0.62,0.65,0.33,0.49,14.17
fdhD,1.01,0.66,0.79,0.69,0.73,0.76,0.66,0.55,0.52,12.39
fdhE,1.04,0.67,0.76,0.61,0.71,0.76,0.67,0.64,0.64,15.86
fdhF,0.99,0.6,0.67,0.58,0.71,0.72,0.6,0.53,0.45,34.27
fdnG,0.92,0.55,0.6,0.45,0.66,0.62,0.61,0.2,0.38,48.82
fdnH,0.92,0.45,0.57,0.4,0.65,0.57,0.63,0,0.28,14.18
fdnI,0.94,0.51,0.76,0.51,0.7,0.63,0.63,0.45,0.48,9.53
fdoG,1.04,0.67,0.75,0.76,0.71,0.76,0.68,0.6,0.58,48.77
fdoH,1.02,0.66,0.7,0.78,0.7,0.73,0.62,0.36,0.62,14.38
fdoI,0.52,0.65,0.71,0.67,0.74,0.75,0.59,0.69,0.59,8.72
fdrA,0.89,0.58,0.58,0.62,0.69,0.58,0.67,0.42,0.49,20.21
fdx,0.44,0.52,0.43,0.21,0.49,0.63,0.53,0.28,0,5.12
feaB,1,0.61,0.81,0.98,0.73,0.73,0.65,0.6,0.91,21.94
feaR,0.99,0.55,0.59,0.51,0.7,0.61,0.68,0.3,0.62,15
fecA,0.95,0.66,0.77,0.87,0.71,0.71,0.67,0.96,0.92,36.19
fecB,0.76,0.59,0.44,0.41,0.62,0.65,0.61,0.41,0.18,12.92
fecC,0.96,0.62,0.71,0.54,0.7,0.7,0.59,0.51,0.39,12.06
fecD,0.9,0.55,0.65,0.63,0.7,0.62,0.61,0.47,0.5,11.86
fecE,0.88,0.54,0.7,0.71,0.67,0.67,0.61,0.87,0.73,10.69
fecI,0.93,0.58,0.74,0.71,0.64,0.64,0.59,0.35,0.35,8.86
fecR,1,0.65,0.8,0.84,0.72,0.73,0.59,0.61,0.51,16.15
feoA,0.96,0.67,0.72,0.84,0.64,0.74,0.6,0.3,0.52,3.49
feoB,0.93,0.61,0.65,0.63,0.7,0.71,0.63,0.42,0.65,31.86
fepA,0.95,0.57,0.69,0.61,0.71,0.65,0.67,0.43,0.36,37.03
fepB,0.93,0.56,0.63,0.66,0.68,0.65,0.61,0.31,0.45,14.88
fepC,0.89,0.6,0.6,0.64,0.63,0.65,0.69,0.21,0.41,12.63
fepD,0.93,0.56,0.65,0.54,0.68,0.65,0.66,0.32,0.58,11.37
fepE,0.96,0.59,0.52,0.62,0.71,0.6,0.65,0.34,0.46,17.68
fepG,0.99,0.53,0.71,0.65,0.69,0.62,0.65,0.51,0.52,12.74
fes,0.92,0.59,0.59,0.76,0.68,0.61,0.64,0.46,0.56,21.38
fhiA,0.86,0.49,0.56,0.51,0.64,0.61,0.62,0.39,0.33,0
fhlA,0.99,0.64,0.7,0.85,0.72,0.71,0.57,0.48,0.33,32.57
fhuA,0.87,0.66,0.62,0.88,0.72,0.69,0.67,0.87,0.81,36.25
fhuB,0.87,0.63,0.71,0.83,0.69,0.66,0.67,0.68,0.76,25.21
fhuC,0.92,0.58,0.5,0.72,0.65,0.61,0.7,0.37,0.53,11.27
fhuD,0.77,0.59,0.7,0.76,0.62,0.64,0.65,0.65,0.69,12.04
fhuE,0.87,0.52,0.6,0.57,0.66,0.57,0.64,0.33,0.29,35.85
fhuF,0.89,0.47,0.53,0.58,0.67,0.61,0.61,0.44,0.43,13.59
fic,0.93,0.56,0.69,0.59,0.73,0.64,0.64,0.26,0.53,10.66
fieF,0.94,0.7,0.68,0.86,0.72,0.72,0.59,0.53,0.47,12.38
fimA,0.97,0.68,0.81,0.99,0.7,0.71,0.59,0.67,0.8,5.87
fimB,0.88,0.61,0.68,0.83,0.69,0.67,0.65,0.67,0.55,9.54
fimC,0.9,0.6,0.51,0.41,0.52,0.58,0.62,0.33,0.26,10.66
fimD,0.86,0.59,0.7,0.79,0.68,0.65,0.64,0.75,0.69,42.21
fimE,0.72,0.49,0.48,0.86,0.67,0.6,0.62,0.46,0.39,9.81
fimF,0.92,0.59,0.66,0.87,0.65,0.66,0.61,0.43,0.77,6.85
fimG,0.81,0.59,0.49,0.44,0.63,0.69,0.63,0.42,0.36,7.58
fimH,0.91,0.67,0.77,0.98,0.69,0.67,0.55,0.63,0.87,13.32
fimI,1,0.6,0.68,0.88,0.77,0.73,0.64,0.65,0.74,6.85
fimZ,0.93,0.58,0.66,0.67,0.66,0.66,0.58,0.02,0.42,9.91
fis,0.84,0.73,0,0.04,0.05,0.68,0.8,0.66,0.65,4.9
fiu,0.9,0.6,0.69,1.01,0.8,0.68,0.69,0.57,0.79,32.97
fixA,1.05,0.62,0.72,0.78,0.73,0.72,0.58,0.4,0.39,10.98
fixB,0.94,0.61,0.72,0.7,0.71,0.68,0.66,0.47,0.61,12.82
fixC,0.93,0.59,0.71,0.67,0.7,0.65,0.67,0.67,0.82,16.79
fixX,0.91,0.54,0.69,0.49,0.69,0.64,0.66,0.4,0.5,4.77
fklB,0.96,0.54,0.69,0.52,0.69,0.65,0.61,0.23,0.46,8.9
fkpA,0.86,0.57,0.55,0.47,0.55,0.67,0.63,0.59,0.63,12.94
fkpB,0.62,0.46,0.42,0.07,0.39,0.65,0.47,0.7,0,5.34
fldB,0.84,0.56,0.61,0.76,0.67,0.65,0.65,0.47,0.47,9.82
flgA,0.98,0.8,0.76,0.78,0.68,0.81,0.66,0.46,0.64,7.77
flgB,0.96,0.62,0.62,0.6,0.68,0.61,0.61,0.36,0.49,5.82
flgC,0.92,0.71,0.76,0.89,0.7,0.66,0.66,0.78,0.93,5.01
flgD,0.95,0.6,0.64,0.7,0.64,0.62,0.62,0.41,0.48,9.36
flgE,0.9,0.64,0.56,0.84,0.7,0.66,0.6,0.43,0.38,15.48
flgF,0.65,0.26,0.5,0.25,0.61,0.39,0.6,0.14,0,8.8
flgG,0.82,0.58,0.54,0.69,0.67,0.66,0.6,0.32,0.34,11.75
flgH,0.93,0.65,0.78,0.93,0.66,0.68,0.63,0.73,0.83,9.15
flgI,0.94,0.53,0.18,0.78,0.54,0.58,0.63,0.28,0,13.76
flgJ,0.98,0.63,0.66,0.71,0.72,0.63,0.65,0.26,0.36,15.97
flgK,0.88,0.62,0.55,0.66,0.69,0.66,0.62,0.18,0.42,22.84
flgL,1.01,0.57,0.7,0.57,0.71,0.62,0.61,0.24,0.15,14.86
flgM,0.98,0.52,0.68,0.52,0.69,0.64,0.58,0.22,0.36,4.02
flgN,0.95,0.6,0.65,0.56,0.66,0.59,0.66,0.18,0.44,7.85
flhA,0.96,0.59,0.7,0.79,0.63,0.61,0.55,0.29,0.37,23.49
